mp-862690,0.0,0.0
mp-1183076,-0.48027804250000306,0.0
mp-1183086,-0.43368235062500504,0.0
mp-862786,-0.386251328749999,0.0
mp-861883,-0.342298746250001,0.0
mp-867241,-0.665207049999995,0.0
mp-861872,-0.583250138125002,0.0
mp-1183377,-0.5060674862499961,0.0
mp-865951,-0.695376886249995,0.0
mp-866107,-0.6663974312499971,0.0
mp-1183093,-0.534733513749998,0.0
mp-1183074,-0.228840256874998,0.0
mp-1183078,-0.26746134000000005,0.0
mp-866103,-0.344917513749998,0.0
mp-1183079,-0.19924529333333202,0.0
mp-862849,-0.324698736250006,0.0
mp-11107,-3.737668289999997,3.522599999999999
mp-865855,-0.6024802275000021,0.0
mp-1183072,-0.40701238124999806,0.0
mp-1183073,-0.513242463749996,0.0
mp-1183070,-0.570140636250002,0.0
mp-866018,-0.457048125,0.0
mp-1183067,-0.384465556874999,0.0
mp-1183106,-0.385861482499997,0.0
mp-985305,-0.25022404062499903,0.0
mp-985506,-0.16381396812499802,0.0
mp-866199,-0.27115698125000104,0.0
mp-1183065,-0.31133219437500503,0.0
mp-865950,-0.200376441875,0.0
mp-862617,-0.40891574812500003,0.0
mp-1183115,-3.690019421500002,4.1024
mp-867838,-0.771291945625002,0.0
mp-27972,-2.494519163125,4.103299999999999
mp-30274,-3.396185964166668,4.241
mp-864644,-0.46622083812499604,0.0
mp-861880,-0.35402117937499605,0.0
mp-27971,-2.788094297499999,5.0865
mp-30273,-3.586422302500002,4.4451
mp-866101,-3.1389721295,2.0031
mp-1183114,-0.059555694374999,0.0
mp-864606,-2.4228924235,0.0
mp-1006278,-0.779867236875,0.0
mp-1183124,-0.261695901874999,0.0
mp-985278,-4.467987469375,6.0693
mp-861502,-2.771539465500001,0.9887999999999991
mp-1183053,-3.063252617,2.895900000000001
mp-862665,-0.444330336874998,0.0
mp-24147,-0.6843335983333341,0.0
mp-861605,-0.671802030937499,0.640699999999999
mp-862289,-0.47723914374999704,0.0
mp-1183060,-0.32168960375000205,0.0
mp-861867,-1.801003203125001,2.5892
mp-867297,-0.5507089056250011,0.0
mp-867321,-0.510612275624993,0.0
mp-1183118,-0.274911696875,0.0
mp-866286,-0.059893923749996004,0.0
mp-1525815,-0.035826379583333005,0.0
mp-865979,-0.238415764375,0.0
mp-866225,-0.421982165625006,0.0
mp-861735,-0.242557518541673,0.0
mp-1183182,-0.23583242437499802,0.0
mp-864911,-2.973630023086206,0.0
mp-866056,-1.322563138124998,0.0517
mp-1183139,-2.455476575499998,0.0
mp-36526,-4.159415700833336,4.256600000000001
mp-867422,-0.6827262418750021,0.0
mp-1183220,-0.346064169374997,0.0
mp-865927,-3.60763573816667,0.0
mp-865958,-0.236608026875003,0.0
mp-865952,-0.6485188643749991,0.0
mp-984551,-0.453474278124999,0.0
mp-1183199,-0.345513796874996,0.0
mp-865028,-1.251402644791669,0.6253000000000001
mp-1183168,-3.141069095500003,0.0
mp-866203,-0.485260694374999,0.0
mp-980005,-0.6750111106249931,0.0
mp-1183192,-0.378423713124995,0.0
mp-8566,0.0,0.0
